pickup_date,borough,pickups,speed
1/3/15 7:00,Brooklyn,104,0
1/3/15 7:00,Manhattan,310,0
1/3/15 7:00,Queens,125,0
1/3/15 7:00,Staten Island,0,0
1/3/15 8:00,Bronx,14,6
1/3/15 8:00,Brooklyn,128,6
1/3/15 8:00,Manhattan,312,6
1/3/15 8:00,Queens,124,6
1/3/15 8:00,Staten Island,0,6
1/3/15 9:00,Bronx,14,7
1/3/15 9:00,Brooklyn,198,7
1/3/15 9:00,Manhattan,527,7
1/3/15 9:00,Queens,160,7
1/3/15 9:00,Staten Island,0,7
1/3/15 10:00,Bronx,13,6
1/3/15 10:00,Brooklyn,274,6
1/3/15 10:00,Manhattan,717,6
1/3/15 10:00,Queens,127,6
1/3/15 10:00,Staten Island,0,6
1/3/15 11:00,Bronx,18,6
1/3/15 11:00,Brooklyn,363,6
1/3/15 11:00,Manhattan,1069,6
1/3/15 11:00,Queens,199,6
1/3/15 11:00,Staten Island,1,6
1/3/15 12:00,Bronx,24,6
1/3/15 12:00,Brooklyn,437,6
1/3/15 12:00,Manhattan,1309,6
1/3/15 12:00,Queens,183,6
1/3/15 12:00,Staten Island,0,6
1/3/15 13:00,Bronx,27,9
1/3/15 13:00,Brooklyn,425,9
1/3/15 13:00,Manhattan,1865,9
1/3/15 13:00,Queens,230,9
1/3/15 13:00,Staten Island,0,9
1/3/15 14:00,Bronx,36,7
1/3/15 14:00,Brooklyn,495,7
1/3/15 14:00,Manhattan,2182,7
1/3/15 14:00,Queens,267,7
1/3/15 14:00,Staten Island,1,7
1/3/15 15:00,Bronx,37,5.5
1/3/15 15:00,Brooklyn,541,5.5
1/3/15 15:00,Manhattan,2303,5.5
1/3/15 15:00,Queens,329,5.5
1/3/15 15:00,Staten Island,0,5.5
1/3/15 16:00,Bronx,32,9
1/3/15 16:00,Brooklyn,589,9
1/3/15 16:00,Manhattan,2465,9
1/3/15 16:00,Queens,352,9
1/3/15 16:00,Staten Island,1,9
1/3/15 17:00,Bronx,37,7
1/3/15 17:00,Brooklyn,623,7
1/3/15 17:00,Manhattan,3375,7
1/3/15 17:00,Queens,306,7
1/3/15 17:00,Staten Island,2,7
1/3/15 18:00,Bronx,40,7.8
1/3/15 18:00,Brooklyn,795,7.8
1/3/15 18:00,Manhattan,3550,7.8
1/3/15 18:00,Queens,414,7.8
1/3/15 18:00,Staten Island,5,7.8
1/3/15 19:00,Bronx,48,7.5
1/3/15 19:00,Brooklyn,850,7.5
1/3/15 19:00,Manhattan,3979,7.5
1/3/15 19:00,Queens,439,7.5
1/3/15 19:00,Staten Island,4,7.5
1/3/15 20:00,Bronx,66,5.75
1/3/15 20:00,Brooklyn,850,5.75
1/3/15 20:00,Manhattan,3648,5.75
1/3/15 20:00,Queens,355,5.75
1/3/15 20:00,Staten Island,1,5.75
1/3/15 21:00,Bronx,49,7
1/3/15 21:00,Brooklyn,747,7
1/3/15 21:00,Manhattan,2728,7
1/3/15 21:00,Queens,342,7
1/3/15 21:00,Staten Island,1,7
1/3/15 22:00,Bronx,49,6.5
1/3/15 22:00,Brooklyn,745,6.5
1/3/15 22:00,Manhattan,2692,6.5
1/3/15 22:00,Queens,450,6.5
1/3/15 22:00,Staten Island,1,6.5
1/3/15 23:00,Bronx,39,4.8
1/3/15 23:00,Brooklyn,744,4.8
1/3/15 23:00,Manhattan,2648,4.8
1/3/15 23:00,Queens,449,4.8
1/3/15 23:00,Staten Island,0,4.8
1/4/15 0:00,Bronx,33,5.75
1/4/15 0:00,Brooklyn,738,5.75
1/4/15 0:00,Manhattan,2696,5.75
1/4/15 0:00,Queens,408,5.75
1/4/15 0:00,Staten Island,0,5.75
1/4/15 1:00,Bronx,35,6
1/4/15 1:00,Brooklyn,656,6
1/4/15 1:00,Manhattan,1844,6
1/4/15 1:00,Queens,282,6
1/4/15 1:00,Staten Island,1,6
1/4/15 2:00,Bronx,33,7.2
1/4/15 2:00,Brooklyn,438,7.2
1/4/15 2:00,Manhattan,1192,7.2
1/4/15 2:00,Queens,147,7.2
1/4/15 2:00,Staten Island,0,7.2
1/4/15 3:00,Bronx,32,7.333333333
1/4/15 3:00,Brooklyn,321,7.333333333
1/4/15 3:00,Manhattan,825,7.333333333
1/4/15 3:00,Queens,80,7.333333333
1/4/15 3:00,Staten Island,0,7.333333333
1/4/15 4:00,Bronx,12,7.666666667
1/4/15 4:00,Brooklyn,244,7.666666667
1/4/15 4:00,Manhattan,635,7.666666667
1/4/15 4:00,Queens,62,7.666666667
1/4/15 4:00,Staten Island,0,7.666666667
1/4/15 5:00,Bronx,18,8
1/4/15 5:00,Brooklyn,151,8
1/4/15 5:00,Manhattan,339,8
1/4/15 5:00,Queens,73,8
1/4/15 5:00,Staten Island,0,8
1/4/15 6:00,Bronx,10,4
1/4/15 6:00,Brooklyn,149,4
1/4/15 6:00,Manhattan,317,4
1/4/15 6:00,Queens,168,4
1/4/15 6:00,Staten Island,0,4
1/4/15 7:00,Bronx,14,3.2
1/4/15 7:00,Brooklyn,122,3.2
1/4/15 7:00,Manhattan,257,3.2
1/4/15 7:00,Queens,126,3.2
1/4/15 7:00,Staten Island,1,3.2
1/4/15 8:00,Bronx,17,1
1/4/15 8:00,Brooklyn,158,1
1/4/15 8:00,Manhattan,422,1
1/4/15 8:00,Queens,114,1
1/4/15 8:00,Staten Island,1,1
1/4/15 9:00,Bronx,13,0
1/4/15 9:00,Brooklyn,212,0
1/4/15 9:00,Manhattan,532,0
1/4/15 9:00,Queens,163,0
1/4/15 9:00,Staten Island,0,0
1/4/15 10:00,Bronx,22,2.833333333
1/4/15 10:00,Brooklyn,286,2.833333333
1/4/15 10:00,Manhattan,810,2.833333333
1/4/15 10:00,Queens,179,2.833333333
1/4/15 10:00,Staten Island,0,2.833333333
1/4/15 11:00,Bronx,17,7
1/4/15 11:00,Brooklyn,344,7
1/4/15 11:00,Manhattan,1125,7
1/4/15 11:00,Queens,209,7
1/4/15 11:00,Staten Island,1,7
1/4/15 12:00,Bronx,25,6
1/4/15 12:00,Brooklyn,426,6
1/4/15 12:00,Manhattan,1315,6
1/4/15 12:00,Queens,188,6
1/4/15 12:00,Staten Island,0,6
1/4/15 13:00,Bronx,28,8
1/4/15 13:00,Brooklyn,406,8
1/4/15 13:00,Manhattan,1442,8
1/4/15 13:00,Queens,206,8
1/4/15 13:00,Staten Island,3,8
1/4/15 14:00,Bronx,32,3
1/4/15 14:00,Brooklyn,404,3
1/4/15 14:00,Manhattan,1437,3
1/4/15 14:00,Queens,258,3
1/4/15 14:00,Staten Island,0,3
1/4/15 15:00,Bronx,24,5
1/4/15 15:00,Brooklyn,397,5
1/4/15 15:00,Manhattan,1402,5
1/4/15 15:00,Queens,341,5
1/4/15 15:00,Staten Island,0,5
1/4/15 16:00,Bronx,31,6
1/4/15 16:00,Brooklyn,400,6
1/4/15 16:00,Manhattan,1536,6
1/4/15 16:00,Queens,366,6
1/4/15 16:00,Staten Island,3,6
1/4/15 17:00,Bronx,35,7.5
1/4/15 17:00,Brooklyn,415,7.5
1/4/15 17:00,Manhattan,1649,7.5
1/4/15 17:00,Queens,359,7.5
1/4/15 17:00,Staten Island,1,7.5
1/4/15 18:00,Bronx,24,8.333333333
1/4/15 18:00,Brooklyn,433,8.333333333
1/4/15 18:00,Manhattan,1584,8.333333333
1/4/15 18:00,Queens,387,8.333333333
1/4/15 18:00,Staten Island,0,8.333333333
1/4/15 19:00,Bronx,36,4
1/4/15 19:00,Brooklyn,437,4
1/4/15 19:00,Manhattan,1422,4
1/4/15 19:00,Queens,356,4
1/4/15 19:00,Staten Island,1,4
1/4/15 20:00,Bronx,25,8
1/4/15 20:00,Brooklyn,550,8
1/4/15 20:00,Manhattan,1675,8
1/4/15 20:00,Queens,423,8
1/4/15 20:00,Staten Island,0,8
1/4/15 21:00,Bronx,32,7.5
1/4/15 21:00,Brooklyn,373,7.5
1/4/15 21:00,Manhattan,1228,7.5
1/4/15 21:00,Queens,482,7.5
1/4/15 21:00,Staten Island,1,7.5
1/4/15 22:00,Bronx,20,7
1/4/15 22:00,Brooklyn,329,7
1/4/15 22:00,Manhattan,999,7
1/4/15 22:00,Queens,498,7
1/4/15 22:00,Staten Island,1,7
1/4/15 23:00,Bronx,22,5
1/4/15 23:00,Brooklyn,326,5
1/4/15 23:00,Manhattan,720,5
1/4/15 23:00,Queens,611,5
1/4/15 23:00,Staten Island,2,5
1/5/15 0:00,Bronx,16,6.333333333
1/5/15 0:00,Brooklyn,239,6.333333333
1/5/15 0:00,Manhattan,472,6.333333333
1/5/15 0:00,Queens,519,6.333333333
1/5/15 0:00,Staten Island,1,6.333333333
1/5/15 1:00,Bronx,7,6.5
1/5/15 1:00,Brooklyn,140,6.5
1/5/15 1:00,Manhattan,337,6.5
1/5/15 1:00,Queens,387,6.5
1/5/15 1:00,Staten Island,0,6.5
1/5/15 2:00,Bronx,6,5
1/5/15 2:00,Brooklyn,81,5
1/5/15 2:00,Manhattan,181,5
1/5/15 2:00,Queens,152,5
1/5/15 2:00,Staten Island,0,5
1/5/15 3:00,Bronx,5,8
1/5/15 3:00,Brooklyn,51,8
1/5/15 3:00,Manhattan,132,8
1/5/15 3:00,Queens,39,8
1/5/15 3:00,Staten Island,0,8
1/5/15 4:00,Bronx,6,14
1/5/15 4:00,Brooklyn,71,14
1/5/15 4:00,Manhattan,208,14
1/5/15 4:00,Queens,30,14
1/5/15 4:00,Staten Island,0,14
1/5/15 5:00,Bronx,9,18
1/5/15 5:00,Brooklyn,152,18
1/5/15 5:00,Manhattan,449,18
1/5/15 5:00,Queens,96,18
1/5/15 5:00,Staten Island,2,18
1/5/15 6:00,Bronx,14,10
1/5/15 6:00,Brooklyn,209,10
1/5/15 6:00,Manhattan,721,10
1/5/15 6:00,Queens,195,10
1/5/15 6:00,Staten Island,1,10
1/5/15 7:00,Bronx,25,10
1/5/15 7:00,Brooklyn,321,10
1/5/15 7:00,Manhattan,1297,10
1/5/15 7:00,Queens,238,10
1/5/15 7:00,Staten Island,3,10
1/5/15 8:00,Bronx,29,10
1/5/15 8:00,Brooklyn,421,10
1/5/15 8:00,Manhattan,1939,10
1/5/15 8:00,Queens,281,10
1/5/15 8:00,Staten Island,0,10
1/5/15 9:00,Bronx,31,13
1/5/15 9:00,Brooklyn,403,13
1/5/15 9:00,Manhattan,1969,13
1/5/15 9:00,Queens,304,13
1/5/15 9:00,Staten Island,0,13
1/5/15 10:00,Bronx,21,9
1/5/15 10:00,Brooklyn,347,9
1/5/15 10:00,Manhattan,1177,9
1/5/15 10:00,Queens,211,9
1/5/15 10:00,Staten Island,0,9
1/5/15 11:00,Bronx,18,16
1/5/15 11:00,Brooklyn,218,16
